"Is it in the quote, B?",Room,Lab Type,Equipment Name,Equipment Description,Quantity,Item Number,Model,Any other specifics?,cost per unit,cost sum per row
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",hot plate with stirrer,hot plate with stirrer,2,SP18425Q,Super Nuova,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",incubator,incubator stacks,4,51028065,Thermo Scientific; Heratherm; 180 L,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",microscope compound phase,Compound light microscopes w/ phase contrast,13,,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",microscope dissecting,Dissecting Microscope,13,,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",pH meter,pH meter,2,,Accumet - ,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",pippette supplies,multi-channel pipettors (30-300) (5-50) 8 channel ,10,47729-148,Hamilton,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",pippette supplies,"set of micropipettors (10, 20, 200, 1000 uL)",9,F123606G, ,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",plant growth chamber,Percival Model AR41L2,1,,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",precision balance,Precision Balance,1,,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",refrigerator combo,Combo refrigerator/freezer,1,,,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",shaker nutator,Nutator (same as TC lab),1,,pn 88861041 CAN 15 AND 50 Ml BE USED,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",shaker orbital,orbital shaker - 96 well,2,SHKE4450PROMO,MaxQ4450,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",spec supplies,bracket thingie in spec that holds cuvettes instead of spec test tubes (does the spec come with this interchangeable bracket?),8,,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",spec supplies,test tube racks to hold spec tubes,30,14-809-40,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",spectrophotometer,spectrophotometer,8,30-14-380-442,Genesys,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",toploading balance,Toploading Balance,2,10204-990,Balances  1000 g x 0.01 g,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",vortex,shaker vortex,9,88880017,Thermo,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",water bath med size shaking,water bath med size shaking,2,FSGPD10,Fisher,,,
Y,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",hot plate with stirrer,hot plate with stirrer,3,SP18425Q,Super Nuova,,,
Y,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",minus 20 freezer,-20 manual defrost,1,UEN2320A,Revco,,,
N,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",pH meter,pH meter,2,,Accumet,,,
N,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",pippette supplies,electonic pipetters for serological,2,,,,,
N,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",pippette supplies,Pipette sets,4,,,,,
N,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",pippette supplies,pipette stands,4,,,,,
N,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",pippette supplies,repeater pipette,1,,,,,
N,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",precision balance,Precision Balance,1,,,,,
Y,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",refrigerator,4 degree white  ,1,MR49PA-GAEE-FS,Fisher Isotemp,,,
Y,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",shaker MaxQ4000,shaking incubator,7,SHKE4450PROMO              30182 30188,MaxQ4450,,,
N,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",shaker orbital,orbital shaker,1,,,,,
N,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",toploading balance,Toploading Balance,2,,,,,
Y,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",vortex,shaker vortex,2,88880017,Thermo,,,
Y,348,"Molecular Cell BIO 310, 410, 450, 460, Prep Room",water bath med size shaking,water bath med size shaking,1,FSGPD10,10L,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",centrifuge,Centrifuge,1,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",centrifuge micro,microfuge,3,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",gel supplies,plate reader (UV/vis fluorescence),1,,ELX50,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",gel supplies,plate washer,1,,,,,
Y,349,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,stacking kit,1,50126667,stacking kit - Heratherm incubator,,,
Y,349,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,support stand,1,50127743,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,thermocycler,1,1851196EOU,Biorad 96 Well,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,transilluminator,1,,w/ Documentation System,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",heat block,heat block for test tubes,4,11-496-55Q,Nuova,,,
Y,349,"Molecular Cell BIO 310, 410, 450, 460, ",hot plate with stirrer,hot plate with stirrer,2,SP18425Q,Super Nuova,,,
Y,349,"Molecular Cell BIO 310, 410, 450, 460, ",incubator,incubator,2,51028065,Thermo Scientific; Heratherm; 180 L,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",microscope compound phase,Compound light microscopes w/ phase contrast,12,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",microscope compound phase camera,Compound light microscopes w/ phase contrast camera,1,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",minus 20 freezer,Manual defrost -20 enzymes,1,UEN2320A,Revco,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",pH meter,pH meter,2,,Accumet - ,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",pippette supplies,multi-channel pipettors (30-300) (5-50) 8 channel ,9,47729-148,Hamilton ,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",pippette supplies,"set of micropipettors (10, 20, 200, 1000 uL)",9,F123606G, ,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460",precision balance,Precision Balance,1,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",refrigerator,4 degree white  ,1,,,,,
Y,349,"Molecular Cell BIO 310, 410, 450, 460, ",shaker MaxQ4000,shaking incubator,1,SHKE2000,MaxQ2000,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",shaker nutator,Nutator (same as TC lab),1,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",shaker orbital,orbital shaker,3,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",shaker orbital,orbital shaker - 96 well,2,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",spectrophotometer,spectrophotometer,1,30-14-380-442,Genesys 30,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",toploading balance,Balances  1000 g x 0.01 g,4,10204-990,1000g x 0.01g,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",vortex,shaker vortex,9,,,,,
N,349,"Molecular Cell BIO 310, 410, 450, 460, ",water bath med size shaking,water bath med size shaking,2,,,,,
N,350,Instrumentation,centrifuge,centrifuge,1, , ,,,
N,350,Instrumentation,centrifuge micro,microfuge,1,,,,,
Y,350,Instrumentation,centrifuge ultra,ultracentrifuge/superspeed,1,,Lynx 6000,,,
N,350,Instrumentation,gel supplies,plate reade luminescence,1,,,,,
N,350,Instrumentation,gel supplies,plate readers Biotek UV-Vis/Fluor,1,,,,,
N,350,Instrumentation,gel supplies,plate washer,1,,,,,
N,350,Instrumentation,minus 80 freezer,-80 freezer,1,,UxF50086A,,,
N,350,Instrumentation,precision balance,Precision Balance,1,,,,,
N,350,Instrumentation,toploading balance,Toploading Balance,2,,,,,
N,350,Instrumentation,vortex,shaker vortex,2,,,,,
N,Research Suite,Research Suite,plant growth chamber,Percival Model AR41L2,1,,,,,
